time,latitude,longitude,depth,mag,place
2010-01-02 02:15:12.090000+00:00,38.245,71.467,47.0,5.4,"84 km N of Khorugh, Tajikistan"
2010-01-02 03:12:14.380000+00:00,38.362,71.318,42.7,4.4,"98 km S of Karakenja, Tajikistan"
2010-01-02 04:49:04.540000+00:00,38.452,71.291,48.6,4.3,"89 km SSW of Karakenja, Tajikistan"
2010-01-02 15:22:46.990000+00:00,40.715,79.66,48.2,4.8,"48 km SW of Aykol, China"
2010-01-06 05:36:30.030000+00:00,38.031,70.449,35.0,4.8,"37 km ESE of M?’minobod, Tajikistan"
2010-01-08 13:23:48.270000+00:00,38.483,74.017,107.1,4.5,"34 km N of Murghob, Tajikistan"
2010-01-11 09:45:45.380000+00:00,39.479,67.49,10.0,4.7,"10 km W of Panjakent, Tajikistan"
2010-01-12 07:12:47.940000+00:00,38.896,70.722,63.0,4.5,"33 km ESE of Rasht, Tajikistan"
2010-01-19 17:35:45.350000+00:00,42.091,72.086,0.6,5.0,"49 km SSW of Talas, Kyrgyzstan"
2010-01-28 19:44:57.410000+00:00,41.043,74.996,11.2,4.8,"69 km WSW of At-Bashi, Kyrgyzstan"
2010-02-13 06:21:13.750000+00:00,39.27,76.864,35.0,4.4,"78 km ESE of Kashgar, China"
2010-02-13 16:37:33.100000+00:00,39.314,72.691,6.1,4.7,"45 km SE of Kyzyl-Eshme, Kyrgyzstan"
2010-02-17 00:39:10.990000+00:00,39.488,74.977,55.0,4.6,"87 km W of Kashgar, China"
2010-02-21 02:05:27.080000+00:00,38.293,71.385,60.2,4.3,"90 km N of Khorugh, Tajikistan"
2010-02-24 11:18:21.700000+00:00,39.549,73.712,38.8,4.4,"122 km SE of Nookat, Kyrgyzstan"
2010-02-28 01:01:39.420000+00:00,38.438,71.41,52.7,4.3,"89 km S of Karakenja, Tajikistan"
2010-03-02 01:55:39.490000+00:00,42.471,75.628,21.3,5.1,Kyrgyzstan
2010-03-15 05:56:57.170000+00:00,38.623,72.149,61.9,4.4,"86 km SE of Karakenja, Tajikistan"
